"id","filename","link","response code","response text","title","content-type","screen shot","archived","internet archive response code","internet archive response text","wayback earliest date","internet archive earliest","wayback latest date","internet archive latest","internet archive save link","protocol error","protocol error","analysis version number","analysis version text","stats creation time"
"1b30dbf9b5f1fca796fdd3bb6970786e","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.webgatehost.com","200","OK","","text/html; charset=UTF-8","snapshots are not currently enabled","true","302","Found","06 December 2005","http://web.archive.org/web/20051206091444/http://www.webgatehost.com:80/","02 July 2017","http://web.archive.org/web/20170702191309/http://www.webgatehost.com/","http://web.archive.org/save/http://www.webgatehost.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.987716903s"
"9bfa062e6f16dd403c781b13b7076492","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.homes-uk.co.uk","200","OK","online estate agent","text/html","snapshots are not currently enabled","true","302","Found","07 February 1998","http://web.archive.org/web/19980207104030/http://www.homes-uk.co.uk:80/","03 July 2017","http://web.archive.org/web/20170703002353/http://www.homes-uk.co.uk/","http://web.archive.org/save/http://www.homes-uk.co.uk","","","0.0.6","exponentialDK-httpreserve/0.0.6","2.110453124s"
"fd0c20d306de2040b2d51739c86da2f2","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.you-get-rich.com","200","OK","you-get-rich.com&nbsp;-&nbsp;this website is for sale!&nbsp;-&nbsp;you-get-rich resources and information.","text/html; charset=UTF-8","snapshots are not currently enabled","true","302","Found","30 September 2005","http://web.archive.org/web/20050930204031/http://www.you-get-rich.com:80/","02 July 2017","http://web.archive.org/web/20170702120137/http://www.you-get-rich.com/","http://web.archive.org/save/http://www.you-get-rich.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","2.891539077s"
"ad199f3b85fa700100819c6dbd193f04","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.seitensprung-agentur-online.de","200","OK","seitensprung-agentur-online.de&nbsp;-&nbsp;this website is for sale!&nbsp;-&nbsp;seitensprung-agentur-online resources and information.","text/html; charset=UTF-8","snapshots are not currently enabled","true","302","Found","07 February 2005","http://web.archive.org/web/20050207092941/http://www.seitensprung-agentur-online.de:80/","02 July 2017","http://web.archive.org/web/20170702182407/http://www.seitensprung-agentur-online.de/","http://web.archive.org/save/http://www.seitensprung-agentur-online.de","","","0.0.6","exponentialDK-httpreserve/0.0.6","3.373927173s"
"ab3575244cc203d5f2b06c62dd3731db","The Million Dollar Homepage - Own a piece of internet history!.html","http://atyu.com/show","200","OK","welcome to atyu.com","text/html; charset=utf-8","snapshots are not currently enabled","true","302","Found","31 October 2005","http://web.archive.org/web/20051031190621/http://atyu.com:80/show/","03 July 2017","http://web.archive.org/web/20170703031318/http://atyu.com/show/","http://web.archive.org/save/http://atyu.com/show","","","0.0.6","exponentialDK-httpreserve/0.0.6","2.443739851s"
"f10260ac9044ca3ff87125f01d9e128e","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.esquemedia.com","206","Partial Content","cubez","text/html","snapshots are not currently enabled","true","302","Found","22 November 2003","http://web.archive.org/web/20031122090133/http://www.esquemedia.com:80/","02 July 2017","http://web.archive.org/web/20170702132557/http://www.esquemedia.com/","http://web.archive.org/save/http://www.esquemedia.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.570558949s"
"95382c0d4cb97650216be59a5d47108c","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.tonerific.com","200","OK","tonerific.com","text/html; charset=UTF-8","snapshots are not currently enabled","true","302","Found","07 October 2003","http://web.archive.org/web/20031007200644/http://www.tonerific.com:80/","31 July 2017","http://web.archive.org/web/20170731014604/http://www.tonerific.com/","http://web.archive.org/save/http://www.tonerific.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.917039801s"
"96c427e90141a9d2cfab25e6656ff256","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.stayathomejobguide.com","200","OK","stay at home jobs &#8211; your guide to becoming self-sufficient","text/html; charset=UTF-8","snapshots are not currently enabled","true","302","Found","13 August 2005","http://web.archive.org/web/20050813010201/http://www.stayathomejobguide.com:80/","03 July 2017","http://web.archive.org/web/20170703080645/http://www.stayathomejobguide.com/","http://web.archive.org/save/http://www.stayathomejobguide.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","6.753845242s"
"70cfb07edadc98cd8ffa23abe1760374","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.celebpoker.com/promotions.asp","206","Partial Content","page not found | celebpoker.com","text/html","snapshots are not currently enabled","true","302","Found","15 October 2004","http://web.archive.org/web/20041015034924/http://www.celebpoker.com:80/promotions.asp","02 July 2017","http://web.archive.org/web/20170702211155/http://www.celebpoker.com/promotions.asp","http://web.archive.org/save/http://www.celebpoker.com/promotions.asp","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.859278717s"
"930f9857c65c56b4abe47296305c9794","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.thereservationcenter.com","206","Partial Content","tours, sightseeing tours, activities &amp; things to do | viator.com","text/html; charset=UTF-8","snapshots are not currently enabled","false","0","wayback request failed: client.Do failed: Head http://web.archive.org/web/19000831231300/http://www.thereservationcenter.com: net/http: request canceled (Client.Timeout exceeded while awaiting headers)","","","","","","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.214459081s"
"137a45c5b950047b4b33b788b67d5f6b","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.xy7.com","200","OK","","text/html; charset=UTF-8","snapshots are not currently enabled","true","302","Found","12 October 2001","http://web.archive.org/web/20011012231915/http://www.xy7.com:80/","12 June 2017","http://web.archive.org/web/20170612183418/http://www.xy7.com/","http://web.archive.org/save/http://www.xy7.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.606675411s"
